num_gab,year,week,week_start,week_end,total_montant,total_nombre,lib_gab,agence,region,ds,y
1600528,2024,32,2024-08-05,2024-08-11,849701.016742864,976.895005332793,Site_48,Agence_98,Region_2,2024-08-05,1026000.0
1600528,2024,33,2024-08-12,2024-08-18,1504119.151418623,1372.7710148898402,Site_49,Agence_99,Region_3,2024-08-12,1327900.0
1600528,2024,34,2024-08-19,2024-08-25,801007.0524946599,930.1286232321909,Site_50,Agence_100,Region_4,2024-08-19,979300.0
1600528,2024,35,2024-08-26,2024-09-01,1120124.084287619,906.0863119690918,Site_1,Agence_1,Region_5,2024-08-26,941700.0
1600528,2024,36,2024-09-02,2024-09-08,1134615.4126391283,1294.134548728869,Site_2,Agence_2,Region_6,2024-09-02,1354900.0
1600528,2024,37,2024-09-09,2024-09-15,656987.4157910465,554.0361150214379,Site_3,Agence_3,Region_7,2024-09-09,567100.0
1600528,2024,38,2024-09-16,2024-09-22,898642.5916249442,687.845333278279,Site_4,Agence_4,Region_8,2024-09-16,799900.0
1600528,2024,39,2024-09-23,2024-09-29,905022.5673327257,1039.5449658682421,Site_5,Agence_5,Region_9,2024-09-23,1015200.0
1600528,2024,40,2024-09-30,2024-10-06,1075793.7263013616,887.3313625900009,Site_6,Agence_6,Region_10,2024-09-30,1028400.0
1600528,2024,41,2024-10-07,2024-10-13,644828.5449824648,766.9025350632959,Site_7,Agence_7,Region_11,2024-10-07,802300.0
1600528,2024,42,2024-10-14,2024-10-20,711983.0581115737,696.2504758285454,Site_8,Agence_8,Region_12,2024-10-14,674550.0
1600528,2024,43,2024-10-21,2024-10-27,650367.6239966071,781.1685455253598,Site_9,Agence_9,Region_1,2024-10-21,743250.0
1600528,2024,44,2024-10-28,2024-11-03,1666560.6049044547,1448.7446733954287,Site_10,Agence_10,Region_2,2024-10-28,1622000.0
1600528,2024,45,2024-11-04,2024-11-10,1445221.5126193853,1217.2131672263754,Site_11,Agence_11,Region_3,2024-11-04,1285800.0
1600528,2024,46,2024-11-11,2024-11-17,874213.6337242293,983.9721802470115,Site_12,Agence_12,Region_4,2024-11-11,859000.0
1600528,2024,47,2024-11-18,2024-11-24,1256886.2104505661,1150.9090093560437,Site_13,Agence_13,Region_5,2024-11-18,1140700.0
1600528,2024,48,2024-11-25,2024-12-01,2113824.4802359524,1645.069087543956,Site_14,Agence_14,Region_6,2024-11-25,1786100.0
1600528,2024,49,2024-12-02,2024-12-08,2275446.3191680815,2037.9496971936117,Site_15,Agence_15,Region_7,2024-12-02,2154800.0
1600528,2024,50,2024-12-09,2024-12-15,1016018.9593167177,1287.2331209418162,Site_16,Agence_16,Region_8,2024-12-09,1134300.0
1600528,2024,51,2024-12-16,2024-12-22,1077478.9956848945,1173.632009729943,Site_17,Agence_17,Region_9,2024-12-16,1165500.0
1600528,2024,52,2024-12-23,2024-12-29,1484975.7233888805,1362.158548920158,Site_18,Agence_18,Region_10,2024-12-23,1476100.0
1600528,2025,1,2024-12-30,2025-01-05,820496.3409078985,913.2687471926878,Site_19,Agence_19,Region_11,2024-12-30,967500.0
1600528,2025,2,2025-01-06,2025-01-12,793731.9011477613,786.613143974328,Site_20,Agence_20,Region_12,2025-01-06,713800.0
